I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,D
41.652,24.739,21.857,45.095,36.583,27.42,41.849,29.251,24.427,39.156,31.525,29.661,22.298,37.114,31.93,122.46
26.007,23.648,37.083,21.532,36.033,25.703,38.035,33.229,9.0067,22.466,44.577,13.691,26.67,33.056,30.683,107.44
26.297,33.818,21.227,48.211,35.864,39.852,33.195,51.299,36.997,37.245,37.786,51.839,33.949,46.883,36.635,120.03
34.61,14.372,31.512,26.721,22.922,38.254,39.524,33.275,42.971,20.904,40.671,22.071,17.671,25.432,19.461,109.05
37.274,19.442,19.182,48.36,46.518,32.365,27.234,16.937,26.126,24.334,34.613,39.486,33.299,22.766,34.507,115.82
32.135,20.475,28.286,34.642,42.761,24.167,38.92,21.323,28.001,17.725,22.855,7.655,37.929,27.189,35.904,111.43
29.798,28.576,22.744,47.285,36.442,24.552,27.177,46.544,20.758,26.013,22.42,29.715,35.898,33.678,45.946,115.23
25.139,29.154,30.842,23.235,31.869,21.2,30.191,13.133,37.995,22.226,25.427,39.787,40.686,29.367,26.17,105.68
40.784,30.368,11.99,49.156,30.228,35.049,30.157,15.399,26.986,37.489,32.824,43.684,38.601,28.946,24.675,119.32
36.245,27.179,29.383,26.823,11.737,41.109,27.098,13.701,35.713,15.962,40.158,30.268,39.415,35.413,35.596,111.05
23.417,44.408,36.336,25.109,8.9721,32.391,33.452,27.203,23.493,25.248,29.055,30.53,16.509,33.818,39.536,112.27
31.299,28.622,30.911,21.784,41.443,29.378,27.825,29.949,18.448,53.384,28.1,20.795,32.797,38.893,12.194,113.79
44.837,48.128,32.71,19.528,27.583,50.074,49.373,30.473,30.393,39.445,23.518,30.216,32.53,28.358,31.049,136.62
44.816,23.055,18.594,13.062,13.651,41.053,45.725,44.349,35.85,40.477,24.678,21.542,40.976,17.811,58.679,111.12
38.696,17.437,11.821,17.09,31.603,50.365,16.554,27.732,50.196,20.999,38.434,30.836,36.524,32.272,27.543,103.2
30.641,19.07,29.474,38.197,18.723,32.294,25.08,38.163,50.444,38.027,21.494,28.583,21.92,31.948,44.795,109
33.585,47.293,25.535,21.626,39.799,33.945,31.321,38.477,51.386,32.237,43.241,31.109,39.752,29.299,38.757,126.07
10.402,19.034,30.243,29.862,24.388,25.786,12.73,26.956,25.619,29.364,25.932,42.77,22.592,43.259,42.735,88.134
16.474,41.026,36.636,33.121,19.407,14.636,24.646,24.977,55.867,34.985,33.955,33.006,37.574,10.729,23.589,108.4
27.824,49.352,40.043,39.717,49.602,38.206,20.155,32.829,16.379,32.139,36.711,1.7561,56.154,9.6919,24.678,131.97
28.781,42.576,41.07,41.558,24.431,28.439,21.48,28.068,24.178,16.712,44.965,34.412,47.327,18.092,34.402,124.3
22.288,29.784,13.906,32.5,25.353,19.356,19.767,29.486,10.87,34.241,32.802,33.869,2.1367,40.334,39.185,96.221
44.919,28.882,29.169,52.352,27.571,27.192,30.367,27.141,27.612,35.259,48.471,38.116,44.311,25.044,38.702,129.43
28.499,22.2,34.643,33.706,30.578,27.464,23.974,24.791,7.7278,17.409,37.429,40.835,43.193,25.829,18.946,108.19
34.032,32.863,24.254,25.906,33.953,10.262,15.943,5.7953,31.873,30.452,34.446,30.041,34.689,9.6601,54.333,107.83
26.512,33.097,37.072,36.052,25.533,33.701,41.769,20.984,37.382,27.886,26.775,19.513,27.666,23.385,36.091,117.6
3.4431,49.763,22.529,27.351,17.698,27.12,32.217,28.195,34.671,39.144,44.137,33.999,33.261,42.575,24.64,97.463
36.982,17.473,21.984,41.334,20.955,28.921,22.017,4.5192,28.832,19.978,18.379,26.671,36.833,26.068,35.29,105.04
34.811,29.666,30.852,18.768,27.564,32.775,55.311,13.398,29.489,29.091,38.664,35.361,42.261,28.597,41.133,115.11
8.6001,21.583,32.906,29.119,27.002,29.353,44.598,25.153,32.248,22.131,33.126,14.047,19.409,42.28,33.101,93.5
28.388,33.198,23.848,32.725,38.844,36.062,39.095,30.049,16.114,38.435,20.991,21.692,34.806,34.362,38.911,115.49
26.733,26.008,35.807,29.934,43.341,29.856,37.07,44.338,34.753,34.921,30.738,25.451,32.158,36.008,36.407,116.33
45.61,41.028,20.355,37.316,37.501,26.556,24.529,27.239,18.106,28.359,30.272,31.472,29.186,32.843,21.774,128.8
11.12,34.08,28.169,31.258,53.051,39.051,30.659,40.424,13.165,20.172,23.022,25.675,9.0803,36.077,32.024,106.01
26.48,38.554,41.251,32.225,23.994,24.332,26.483,15.231,40.156,34.181,47.295,30.063,27.878,20.197,31.624,117.93
34.087,29.477,29.738,44.172,29.663,48.126,26.953,34.488,17.782,30.56,27.578,32.441,31.107,28.679,39.006,122.25
45.954,28.627,28.021,30.249,41.723,31.804,26.434,34.382,27.313,21.952,12.318,34.706,28.97,30.654,37.03,125.79
27.984,42.714,24.026,23.653,25.181,36.2,-0.79007,20.64,34.614,22.576,39.968,40.774,18.384,30.485,33.362,107.88
51.238,37.117,26.248,20.438,38.238,32.414,23.859,45.862,39.681,15.277,30.733,13.703,47.261,20.397,35.935,130.85
20.545,33.121,45.907,26.723,35.097,24.418,31.612,26.202,25.053,28.471,28.112,32.801,54.991,30.188,5.1978,113.55
31.019,45.34,22.519,21.569,29.141,29.999,17.515,30.334,33.422,30.624,55.062,39.692,37.031,32.643,12.518,116.29
11.428,25.595,25.854,36.409,32.488,25.924,20.782,15.412,29.278,22.381,34.142,7.6753,16.98,44.285,25.853,94.127
11.617,36.562,45.524,46.599,31.151,16.003,47.344,26.386,42.972,16.797,31.769,34.408,36.761,29.656,18.914,113.52
21.624,23.142,18.475,28.447,31.954,33.013,27.888,30.02,35.644,21.777,41.294,38.582,23.667,39.081,12.506,99.356
20.895,32.343,20.328,18.617,25.904,51.32,50.266,30.271,26.575,22.724,31.191,14.129,21.79,27.491,29.768,103.94
6.9301,42.598,10.045,19.82,36.732,39.671,28.738,20.268,45.33,38.324,26.314,35.279,29.946,30.029,29.785,93.639
30.513,40.47,26.159,32.589,29.415,42.676,15.114,11.179,64.338,18.003,33.084,24.886,24.048,19.302,17.736,117.97
19.758,28.907,35.725,18.608,35.158,41.997,19.22,48.886,40.483,16.892,24.04,33.495,20.862,23.999,17.848,106.84
22.522,16.465,29.314,22.711,23.648,25.351,36.964,34.792,19.862,47.369,40.124,16.156,33.557,38.249,32.738,96.934
29.429,42.96,37.588,37.2,20.271,21.276,24.068,23.76,37.879,37.236,29.329,26.858,20.815,33.916,25.815,121.2
18.232,28.565,30.133,43.275,36.66,23.483,38.924,36.477,26.995,41.028,31.28,34.548,14.226,50.839,22.997,109.92
29.691,37.393,21.328,36.916,30.835,24.627,24.921,41.142,35.928,32.32,39.313,47.499,24.526,20.332,18.737,116.27
27.196,37.359,31.761,45.677,8.4472,36.616,48.2,22.545,30.206,38.176,16.554,26.078,38.082,23.599,18.96,117.43
